State,Month and Year,Unemp Size
Arizona,1/1/2020 0:00,167687
Arkansas,1/1/2020 0:00,55513
California,1/1/2020 0:00,839986
Colorado,1/1/2020 0:00,90179
Connecticut,1/1/2020 0:00,85151
Delaware,1/1/2020 0:00,20642
D.C.,1/1/2020 0:00,21081
Florida,1/1/2020 0:00,310226
Georgia,1/1/2020 0:00,178054
Hawaii,1/1/2020 0:00,19444
Idaho,1/1/2020 0:00,31053
Illinois,1/1/2020 0:00,253312
Indiana,1/1/2020 0:00,121512
Iowa,1/1/2020 0:00,64221
Kansas,1/1/2020 0:00,50693
Kentucky,1/1/2020 0:00,98685
Louisiana,1/1/2020 0:00,119633
Maine,1/1/2020 0:00,28088
Maryland,1/1/2020 0:00,116126
Massachusetts,1/1/2020 0:00,128339
Michigan,1/1/2020 0:00,210771
Minnesota,1/1/2020 0:00,113334
Mississippi,1/1/2020 0:00,67485
Missouri,1/1/2020 0:00,132261
Montana,1/1/2020 0:00,23626
Nebraska,1/1/2020 0:00,33123
Nevada,1/1/2020 0:00,59880
New Hampshire,1/1/2020 0:00,23910
New Jersey,1/1/2020 0:00,200336
New Mexico,1/1/2020 0:00,47900
New York,1/1/2020 0:00,391140
North Carolina,1/1/2020 0:00,206728
North Dakota,1/1/2020 0:00,11300
Ohio,1/1/2020 0:00,291909
Oklahoma,1/1/2020 0:00,59744
Oregon,1/1/2020 0:00,79351
Pennsylvania,1/1/2020 0:00,333818
Rhode Island,1/1/2020 0:00,22556
South Carolina,1/1/2020 0:00,70380
South Dakota,1/1/2020 0:00,17564
Tennessee,1/1/2020 0:00,127459
Texas,1/1/2020 0:00,532434
Utah,1/1/2020 0:00,45458
Vermont,1/1/2020 0:00,10188
Virginia,1/1/2020 0:00,134298
Washington,1/1/2020 0:00,175160
West Virginia,1/1/2020 0:00,43592
Wisconsin,1/1/2020 0:00,131022
Wyoming,1/1/2020 0:00,12564
Alabama,2/1/2020 0:00,64556
Alaska,2/1/2020 0:00,19908
Arizona,2/1/2020 0:00,158568
Arkansas,2/1/2020 0:00,53699
California,2/1/2020 0:00,841220
Colorado,2/1/2020 0:00,93939
Connecticut,2/1/2020 0:00,84669
Delaware,2/1/2020 0:00,19736
D.C.,2/1/2020 0:00,21696
Florida,2/1/2020 0:00,297363
Georgia,2/1/2020 0:00,181160
Hawaii,2/1/2020 0:00,17633
Idaho,2/1/2020 0:00,27474
Illinois,2/1/2020 0:00,223656
Indiana,2/1/2020 0:00,113949
Iowa,2/1/2020 0:00,54537
Kansas,2/1/2020 0:00,49904
Kentucky,2/1/2020 0:00,89427
Louisiana,2/1/2020 0:00,89797
Maine,2/1/2020 0:00,29469
Maryland,2/1/2020 0:00,116616
Massachusetts,2/1/2020 0:00,125389
Michigan,2/1/2020 0:00,179832
Minnesota,2/1/2020 0:00,110976
Mississippi,2/1/2020 0:00,64562
Missouri,2/1/2020 0:00,115340
Montana,2/1/2020 0:00,22415
Nebraska,2/1/2020 0:00,31200
Nevada,2/1/2020 0:00,59337
New Hampshire,2/1/2020 0:00,23952
New Jersey,2/1/2020 0:00,191465
New Mexico,2/1/2020 0:00,48454
New York,2/1/2020 0:00,376605
North Carolina,2/1/2020 0:00,189127
North Dakota,2/1/2020 0:00,11138
Ohio,2/1/2020 0:00,276356
Oklahoma,2/1/2020 0:00,55011
Oregon,2/1/2020 0:00,78919
Pennsylvania,2/1/2020 0:00,333040
Rhode Island,2/1/2020 0:00,22130
South Carolina,2/1/2020 0:00,73086
South Dakota,2/1/2020 0:00,16724
Tennessee,2/1/2020 0:00,128239
Texas,2/1/2020 0:00,508251
Utah,2/1/2020 0:00,46510
Vermont,2/1/2020 0:00,8910
Virginia,2/1/2020 0:00,123089
Washington,2/1/2020 0:00,167827
West Virginia,2/1/2020 0:00,43954
Wisconsin,2/1/2020 0:00,124277
Wyoming,2/1/2020 0:00,12569
Alabama,3/1/2020 0:00,67046
Alaska,3/1/2020 0:00,19953
Arizona,3/1/2020 0:00,220450
Arkansas,3/1/2020 0:00,66943
California,3/1/2020 0:00,1106405
Colorado,3/1/2020 0:00,167668
Connecticut,3/1/2020 0:00,69052
Delaware,3/1/2020 0:00,24084
D.C.,3/1/2020 0:00,24835
Florida,3/1/2020 0:00,446380
Georgia,3/1/2020 0:00,233410
Hawaii,3/1/2020 0:00,15049
Idaho,3/1/2020 0:00,27030
Illinois,3/1/2020 0:00,262659
Indiana,3/1/2020 0:00,104961
Iowa,3/1/2020 0:00,61910
Kansas,3/1/2020 0:00,43497
Kentucky,3/1/2020 0:00,110123
Louisiana,3/1/2020 0:00,135115
Maine,3/1/2020 0:00,25057
Maryland,3/1/2020 0:00,114717
Massachusetts,3/1/2020 0:00,111438
Michigan,3/1/2020 0:00,197754
Minnesota,3/1/2020 0:00,107672
Mississippi,3/1/2020 0:00,60590
Missouri,3/1/2020 0:00,123340
Montana,3/1/2020 0:00,22642
Nebraska,3/1/2020 0:00,44580
Nevada,3/1/2020 0:00,107252
New Hampshire,3/1/2020 0:00,21078
New Jersey,3/1/2020 0:00,168965
New Mexico,3/1/2020 0:00,60045
New York,3/1/2020 0:00,400782
North Carolina,3/1/2020 0:00,212807
North Dakota,3/1/2020 0:00,10807
Ohio,3/1/2020 0:00,311030
Oklahoma,3/1/2020 0:00,53922
Oregon,3/1/2020 0:00,81967
Pennsylvania,3/1/2020 0:00,381669
Rhode Island,3/1/2020 0:00,27927
South Carolina,3/1/2020 0:00,72853
South Dakota,3/1/2020 0:00,15725
Tennessee,3/1/2020 0:00,109312
Texas,3/1/2020 0:00,718736
Utah,3/1/2020 0:00,65980
Vermont,3/1/2020 0:00,11615
Virginia,3/1/2020 0:00,147817
Washington,3/1/2020 0:00,209204
West Virginia,3/1/2020 0:00,50094
Wisconsin,3/1/2020 0:00,103192
Wyoming,3/1/2020 0:00,12754
Alabama,4/1/2020 0:00,290998
Alaska,4/1/2020 0:00,45980
Arizona,4/1/2020 0:00,458154
Arkansas,4/1/2020 0:00,134572
California,4/1/2020 0:00,2989198
Colorado,4/1/2020 0:00,364834
Connecticut,4/1/2020 0:00,140663
Delaware,4/1/2020 0:00,68510
D.C.,4/1/2020 0:00,44838
Florida,4/1/2020 0:00,1253979
Georgia,4/1/2020 0:00,596017
Hawaii,4/1/2020 0:00,148980
Idaho,4/1/2020 0:00,104199
Illinois,4/1/2020 0:00,1032810
Indiana,4/1/2020 0:00,553940
Iowa,4/1/2020 0:00,183215
Kansas,4/1/2020 0:00,174016
Kentucky,4/1/2020 0:00,331023
Louisiana,4/1/2020 0:00,280233
Maine,4/1/2020 0:00,73818
Maryland,4/1/2020 0:00,306034
Massachusetts,4/1/2020 0:00,538660
Michigan,4/1/2020 0:00,1089279
Minnesota,4/1/2020 0:00,262518
Mississippi,4/1/2020 0:00,186051
Missouri,4/1/2020 0:00,296394
Montana,4/1/2020 0:00,61461
Nebraska,4/1/2020 0:00,91220
Nevada,4/1/2020 0:00,424605
New Hampshire,4/1/2020 0:00,122573
New Jersey,4/1/2020 0:00,707163
New Mexico,4/1/2020 0:00,103972
New York,4/1/2020 0:00,1357286
North Carolina,4/1/2020 0:00,585304
North Dakota,4/1/2020 0:00,37311
Ohio,4/1/2020 0:00,989327
Oklahoma,4/1/2020 0:00,251894
Oregon,4/1/2020 0:00,311793
Pennsylvania,4/1/2020 0:00,995168
Rhode Island,4/1/2020 0:00,93319
South Carolina,4/1/2020 0:00,289686
South Dakota,4/1/2020 0:00,51298
Tennessee,4/1/2020 0:00,482905
Texas,4/1/2020 0:00,1687248
Utah,4/1/2020 0:00,164164
Vermont,4/1/2020 0:00,58492
Virginia,4/1/2020 0:00,465888
Washington,4/1/2020 0:00,622779
West Virginia,4/1/2020 0:00,122798
Wisconsin,4/1/2020 0:00,449312
Wyoming,4/1/2020 0:00,28208
Alabama,5/1/2020 0:00,204935
Alaska,5/1/2020 0:00,41953
Arizona,5/1/2020 0:00,310463
Arkansas,5/1/2020 0:00,127087
California,5/1/2020 0:00,2949447
Colorado,5/1/2020 0:00,306981
Connecticut,5/1/2020 0:00,167737
Delaware,5/1/2020 0:00,73086
D.C.,5/1/2020 0:00,32680
Florida,5/1/2020 0:00,1304072
Georgia,5/1/2020 0:00,449696
Hawaii,5/1/2020 0:00,146131
Idaho,5/1/2020 0:00,76117
Illinois,5/1/2020 0:00,931965
Indiana,5/1/2020 0:00,398272
Iowa,5/1/2020 0:00,167567
Kansas,5/1/2020 0:00,148024
Kentucky,5/1/2020 0:00,217891
Louisiana,5/1/2020 0:00,282453
Maine,5/1/2020 0:00,62510
Maryland,5/1/2020 0:00,302371
Massachusetts,5/1/2020 0:00,582796
Michigan,5/1/2020 0:00,991814
Minnesota,5/1/2020 0:00,287254
Mississippi,5/1/2020 0:00,125942
Missouri,5/1/2020 0:00,295828
Montana,5/1/2020 0:00,44587
Nebraska,5/1/2020 0:00,53515
Nevada,5/1/2020 0:00,347106
New Hampshire,5/1/2020 0:00,111950
New Jersey,5/1/2020 0:00,681014
New Mexico,5/1/2020 0:00,78436
New York,5/1/2020 0:00,1285375
North Carolina,5/1/2020 0:00,613012
North Dakota,5/1/2020 0:00,34993
Ohio,5/1/2020 0:00,777518
Oklahoma,5/1/2020 0:00,229735
Oregon,5/1/2020 0:00,294470
Pennsylvania,5/1/2020 0:00,859499
Rhode Island,5/1/2020 0:00,83808
South Carolina,5/1/2020 0:00,290963
South Dakota,5/1/2020 0:00,42669
Tennessee,5/1/2020 0:00,351948
Texas,5/1/2020 0:00,1711194
Utah,5/1/2020 0:00,136316
Vermont,5/1/2020 0:00,43468
Virginia,5/1/2020 0:00,383912
Washington,5/1/2020 0:00,582895
West Virginia,5/1/2020 0:00,97854
Wisconsin,5/1/2020 0:00,366905
Wyoming,5/1/2020 0:00,25426
Alabama,6/1/2020 0:00,176036
Alaska,6/1/2020 0:00,43062
Arizona,6/1/2020 0:00,359509
Arkansas,6/1/2020 0:00,109561
California,6/1/2020 0:00,2846644
Colorado,6/1/2020 0:00,340422
Connecticut,6/1/2020 0:00,188487
Delaware,6/1/2020 0:00,62574
D.C.,6/1/2020 0:00,35673
Florida,6/1/2020 0:00,1045481
Georgia,6/1/2020 0:00,392073
Hawaii,6/1/2020 0:00,88774
Idaho,6/1/2020 0:00,48142
Illinois,6/1/2020 0:00,958349
Indiana,6/1/2020 0:00,383935
Iowa,6/1/2020 0:00,130982
Kansas,6/1/2020 0:00,113134
Kentucky,6/1/2020 0:00,94543
Louisiana,6/1/2020 0:00,211623
Maine,6/1/2020 0:00,43379
Maryland,6/1/2020 0:00,267300
Massachusetts,6/1/2020 0:00,648604
Michigan,6/1/2020 0:00,743803
Minnesota,6/1/2020 0:00,267680
Mississippi,6/1/2020 0:00,117760
Missouri,6/1/2020 0:00,242135
Montana,6/1/2020 0:00,37988
Nebraska,6/1/2020 0:00,73350
Nevada,6/1/2020 0:00,227581
New Hampshire,6/1/2020 0:00,88100
New Jersey,6/1/2020 0:00,746530
New Mexico,6/1/2020 0:00,83390
New York,6/1/2020 0:00,1468753
North Carolina,6/1/2020 0:00,380123
North Dakota,6/1/2020 0:00,25569
Ohio,6/1/2020 0:00,650272
Oklahoma,6/1/2020 0:00,121838
Oregon,6/1/2020 0:00,243315
Pennsylvania,6/1/2020 0:00,835196
Rhode Island,6/1/2020 0:00,66980
South Carolina,6/1/2020 0:00,219169
South Dakota,6/1/2020 0:00,33471
Tennessee,6/1/2020 0:00,324508
Texas,6/1/2020 0:00,1231582
Utah,6/1/2020 0:00,92009
Vermont,6/1/2020 0:00,32395
Virginia,6/1/2020 0:00,371775
Washington,6/1/2020 0:00,384109
West Virginia,6/1/2020 0:00,80734
Wisconsin,6/1/2020 0:00,270982
Wyoming,6/1/2020 0:00,22832
Alabama,7/1/2020 0:00,182761
Alaska,7/1/2020 0:00,38066
Arizona,7/1/2020 0:00,392648
Arkansas,7/1/2020 0:00,99847
California,7/1/2020 0:00,2624606
Colorado,7/1/2020 0:00,230335
Connecticut,7/1/2020 0:00,199999
Delaware,7/1/2020 0:00,54496
D.C.,7/1/2020 0:00,35715
Florida,7/1/2020 0:00,1169778
Georgia,7/1/2020 0:00,402700
Hawaii,7/1/2020 0:00,86259
Idaho,7/1/2020 0:00,43548
Illinois,7/1/2020 0:00,728120
Indiana,7/1/2020 0:00,267984
Iowa,7/1/2020 0:00,110363
Kansas,7/1/2020 0:00,116591
Kentucky,7/1/2020 0:00,92834
Louisiana,7/1/2020 0:00,203076
Maine,7/1/2020 0:00,67502
Maryland,7/1/2020 0:00,262162
Massachusetts,7/1/2020 0:00,605796
Michigan,7/1/2020 0:00,465161
Minnesota,7/1/2020 0:00,232599
Mississippi,7/1/2020 0:00,123987
Missouri,7/1/2020 0:00,223882
Montana,7/1/2020 0:00,32874
Nebraska,7/1/2020 0:00,53998
Nevada,7/1/2020 0:00,213567
New Hampshire,7/1/2020 0:00,58966
New Jersey,7/1/2020 0:00,668630
New Mexico,7/1/2020 0:00,122000
New York,7/1/2020 0:00,1547731
North Carolina,7/1/2020 0:00,436774
North Dakota,7/1/2020 0:00,26043
Ohio,7/1/2020 0:00,528987
Oklahoma,7/1/2020 0:00,128682
Oregon,7/1/2020 0:00,221460
Pennsylvania,7/1/2020 0:00,824771
Rhode Island,7/1/2020 0:00,65181
South Carolina,7/1/2020 0:00,220921
South Dakota,7/1/2020 0:00,28882
Tennessee,7/1/2020 0:00,321520
Texas,7/1/2020 0:00,1151623
Utah,7/1/2020 0:00,75477
Vermont,7/1/2020 0:00,28191
Virginia,7/1/2020 0:00,349288
Washington,7/1/2020 0:00,400223
West Virginia,7/1/2020 0:00,76141
Wisconsin,7/1/2020 0:00,219150
Wyoming,7/1/2020 0:00,20377
Alabama,8/1/2020 0:00,131079
Alaska,8/1/2020 0:00,21465
Arizona,8/1/2020 0:00,214332
Arkansas,8/1/2020 0:00,99714
California,8/1/2020 0:00,2171794
Colorado,8/1/2020 0:00,205082
Connecticut,8/1/2020 0:00,153302
Delaware,8/1/2020 0:00,45671
D.C.,8/1/2020 0:00,34292
Florida,8/1/2020 0:00,779311
Georgia,8/1/2020 0:00,286484
Hawaii,8/1/2020 0:00,79300
Idaho,8/1/2020 0:00,33876
Illinois,8/1/2020 0:00,691640
Indiana,8/1/2020 0:00,217524
Iowa,8/1/2020 0:00,96178
Kansas,8/1/2020 0:00,105906
Kentucky,8/1/2020 0:00,149419
Louisiana,8/1/2020 0:00,169779
Maine,8/1/2020 0:00,42937
Maryland,8/1/2020 0:00,229494
Massachusetts,8/1/2020 0:00,399730
Michigan,8/1/2020 0:00,439661
Minnesota,8/1/2020 0:00,223097
Mississippi,8/1/2020 0:00,97785
Missouri,8/1/2020 0:00,218155
Montana,8/1/2020 0:00,27741
Nebraska,8/1/2020 0:00,40679
Nevada,8/1/2020 0:00,198063
New Hampshire,8/1/2020 0:00,47347
New Jersey,8/1/2020 0:00,500771
New Mexico,8/1/2020 0:00,102883
New York,8/1/2020 0:00,1200119
North Carolina,8/1/2020 0:00,327976
North Dakota,8/1/2020 0:00,19386
Ohio,8/1/2020 0:00,510199
Oklahoma,8/1/2020 0:00,102709
Oregon,8/1/2020 0:00,161839
Pennsylvania,8/1/2020 0:00,664889
Rhode Island,8/1/2020 0:00,70807
South Carolina,8/1/2020 0:00,160004
South Dakota,8/1/2020 0:00,21806
Tennessee,8/1/2020 0:00,289511
Texas,8/1/2020 0:00,996264
Utah,8/1/2020 0:00,68301
Vermont,8/1/2020 0:00,15117
Virginia,8/1/2020 0:00,274828
Washington,8/1/2020 0:00,333170
West Virginia,8/1/2020 0:00,67061
Wisconsin,8/1/2020 0:00,185857
Wyoming,8/1/2020 0:00,17842
Alabama,9/1/2020 0:00,147185
Alaska,9/1/2020 0:00,21580
Arizona,9/1/2020 0:00,236960
Arkansas,9/1/2020 0:00,93700
California,9/1/2020 0:00,2005969
Colorado,9/1/2020 0:00,192920
Connecticut,9/1/2020 0:00,142318
Delaware,9/1/2020 0:00,40387
D.C.,9/1/2020 0:00,36262
Florida,9/1/2020 0:00,735744
Georgia,9/1/2020 0:00,306054
Hawaii,9/1/2020 0:00,92450
Idaho,9/1/2020 0:00,51637
Illinois,9/1/2020 0:00,634628
Indiana,9/1/2020 0:00,195513
Iowa,9/1/2020 0:00,71212
Kansas,9/1/2020 0:00,81479
Kentucky,9/1/2020 0:00,98849
Louisiana,9/1/2020 0:00,169723
Maine,9/1/2020 0:00,37161
Maryland,9/1/2020 0:00,225825
Massachusetts,9/1/2020 0:00,362323
Michigan,9/1/2020 0:00,396905
Minnesota,9/1/2020 0:00,163943
Mississippi,9/1/2020 0:00,90055
Missouri,9/1/2020 0:00,127577
Montana,9/1/2020 0:00,24499
Nebraska,9/1/2020 0:00,34586
Nevada,9/1/2020 0:00,192954
New Hampshire,9/1/2020 0:00,40491
New Jersey,9/1/2020 0:00,276969
New Mexico,9/1/2020 0:00,93936
New York,9/1/2020 0:00,849479
North Carolina,9/1/2020 0:00,339862
North Dakota,9/1/2020 0:00,15129
Ohio,9/1/2020 0:00,448813
Oklahoma,9/1/2020 0:00,99532
Oregon,9/1/2020 0:00,149864
Pennsylvania,9/1/2020 0:00,502581
Rhode Island,9/1/2020 0:00,56963
South Carolina,9/1/2020 0:00,116197
South Dakota,9/1/2020 0:00,17379
Tennessee,9/1/2020 0:00,210097
Texas,9/1/2020 0:00,1163781
Utah,9/1/2020 0:00,78973
Vermont,9/1/2020 0:00,13356
Virginia,9/1/2020 0:00,262055
Washington,9/1/2020 0:00,308164
West Virginia,9/1/2020 0:00,61636
Wisconsin,9/1/2020 0:00,144668
Wyoming,9/1/2020 0:00,16375
Alabama,10/1/2020 0:00,123584
Alaska,10/1/2020 0:00,19030
Arizona,10/1/2020 0:00,284601
Arkansas,10/1/2020 0:00,76007
California,10/1/2020 0:00,1736288
Colorado,10/1/2020 0:00,194309
Connecticut,10/1/2020 0:00,108532
Delaware,10/1/2020 0:00,26334
D.C.,10/1/2020 0:00,32473
Florida,10/1/2020 0:00,652787
Georgia,10/1/2020 0:00,228654
Hawaii,10/1/2020 0:00,90903
Idaho,10/1/2020 0:00,45983
Illinois,10/1/2020 0:00,407255
Indiana,10/1/2020 0:00,160712
Iowa,10/1/2020 0:00,49084
Kansas,10/1/2020 0:00,74643
Kentucky,10/1/2020 0:00,135622
Louisiana,10/1/2020 0:00,197250
Maine,10/1/2020 0:00,32295
Maryland,10/1/2020 0:00,241545
Massachusetts,10/1/2020 0:00,250244
Michigan,10/1/2020 0:00,247431
Minnesota,10/1/2020 0:00,117689
Mississippi,10/1/2020 0:00,90150
Missouri,10/1/2020 0:00,114425
Montana,10/1/2020 0:00,22296
Nebraska,10/1/2020 0:00,27876
Nevada,10/1/2020 0:00,182494
New Hampshire,10/1/2020 0:00,27260
New Jersey,10/1/2020 0:00,345181
New Mexico,10/1/2020 0:00,73809
New York,10/1/2020 0:00,834025
North Carolina,10/1/2020 0:00,302413
North Dakota,10/1/2020 0:00,15922
Ohio,10/1/2020 0:00,299998
Oklahoma,10/1/2020 0:00,115470
Oregon,10/1/2020 0:00,137452
Pennsylvania,10/1/2020 0:00,436208
Rhode Island,10/1/2020 0:00,35151
South Carolina,10/1/2020 0:00,97321
South Dakota,10/1/2020 0:00,15362
Tennessee,10/1/2020 0:00,240834
Texas,10/1/2020 0:00,950292
Utah,10/1/2020 0:00,61597
Vermont,10/1/2020 0:00,7559
Virginia,10/1/2020 0:00,218161
Washington,10/1/2020 0:00,222624
West Virginia,10/1/2020 0:00,44143
Wisconsin,10/1/2020 0:00,153490
Wyoming,10/1/2020 0:00,14930
Alabama,11/1/2020 0:00,90187
Alaska,11/1/2020 0:00,22042
Arizona,11/1/2020 0:00,276261
Arkansas,11/1/2020 0:00,76825
California,11/1/2020 0:00,1495691
Colorado,11/1/2020 0:00,196649
Connecticut,11/1/2020 0:00,145522
Delaware,11/1/2020 0:00,22373
D.C.,11/1/2020 0:00,28919
Florida,11/1/2020 0:00,621086
Georgia,11/1/2020 0:00,275670
Hawaii,11/1/2020 0:00,68832
Idaho,11/1/2020 0:00,43164
Illinois,11/1/2020 0:00,399750
Indiana,11/1/2020 0:00,163034
Iowa,11/1/2020 0:00,53506
Kansas,11/1/2020 0:00,73228
Kentucky,11/1/2020 0:00,102427
Louisiana,11/1/2020 0:00,172445
Maine,11/1/2020 0:00,31285
Maryland,11/1/2020 0:00,207281
Massachusetts,11/1/2020 0:00,223481
Michigan,11/1/2020 0:00,311286
Minnesota,11/1/2020 0:00,120396
Mississippi,11/1/2020 0:00,75711
Missouri,11/1/2020 0:00,119944
Montana,11/1/2020 0:00,23538
Nebraska,11/1/2020 0:00,27574
Nevada,11/1/2020 0:00,151482
New Hampshire,11/1/2020 0:00,27730
New Jersey,11/1/2020 0:00,445657
New Mexico,11/1/2020 0:00,63048
New York,11/1/2020 0:00,735708
North Carolina,11/1/2020 0:00,300890
North Dakota,11/1/2020 0:00,16681
Ohio,11/1/2020 0:00,298530
Oklahoma,11/1/2020 0:00,111252
Oregon,11/1/2020 0:00,116823
Pennsylvania,11/1/2020 0:00,394781
Rhode Island,11/1/2020 0:00,38000
South Carolina,11/1/2020 0:00,95032
South Dakota,11/1/2020 0:00,15481
Tennessee,11/1/2020 0:00,171236
Texas,11/1/2020 0:00,1130172
Utah,11/1/2020 0:00,64580
Vermont,11/1/2020 0:00,8892
Virginia,11/1/2020 0:00,192526
Washington,11/1/2020 0:00,213891
West Virginia,11/1/2020 0:00,44519
Wisconsin,11/1/2020 0:00,144593
Wyoming,11/1/2020 0:00,14594
Alabama,12/1/2020 0:00,82601
Alaska,12/1/2020 0:00,20481
Arizona,12/1/2020 0:00,259221
Arkansas,12/1/2020 0:00,54497
California,12/1/2020 0:00,1669625
Colorado,12/1/2020 0:00,264285
Connecticut,12/1/2020 0:00,139902
Delaware,12/1/2020 0:00,23075
D.C.,12/1/2020 0:00,31477
Florida,12/1/2020 0:00,586855
Georgia,12/1/2020 0:00,273874
Hawaii,12/1/2020 0:00,58595
Idaho,12/1/2020 0:00,40416
Illinois,12/1/2020 0:00,462321
Indiana,12/1/2020 0:00,136335
Iowa,12/1/2020 0:00,52950
Kansas,12/1/2020 0:00,52888
Kentucky,12/1/2020 0:00,114556
Louisiana,12/1/2020 0:00,142519
Maine,12/1/2020 0:00,31658
Maryland,12/1/2020 0:00,188095
Massachusetts,12/1/2020 0:00,258000
Michigan,12/1/2020 0:00,346968
Minnesota,12/1/2020 0:00,137721
Mississippi,12/1/2020 0:00,75466
Missouri,12/1/2020 0:00,177965
Montana,12/1/2020 0:00,23681
Nebraska,12/1/2020 0:00,28859
Nevada,12/1/2020 0:00,133043
New Hampshire,12/1/2020 0:00,27976
New Jersey,12/1/2020 0:00,329770
New Mexico,12/1/2020 0:00,71906
New York,12/1/2020 0:00,733171
North Carolina,12/1/2020 0:00,297387
North Dakota,12/1/2020 0:00,16323
Ohio,12/1/2020 0:00,295513
Oklahoma,12/1/2020 0:00,95263
Oregon,12/1/2020 0:00,125889
Pennsylvania,12/1/2020 0:00,397625
Rhode Island,12/1/2020 0:00,42022
South Carolina,12/1/2020 0:00,106380
South Dakota,12/1/2020 0:00,14642
Tennessee,12/1/2020 0:00,213010
Texas,12/1/2020 0:00,1006737
Utah,12/1/2020 0:00,55016
Vermont,12/1/2020 0:00,9036
Virginia,12/1/2020 0:00,198530
Washington,12/1/2020 0:00,276932
West Virginia,12/1/2020 0:00,46519
Wisconsin,12/1/2020 0:00,162589
Wyoming,12/1/2020 0:00,13527
