State,Month and Year,Workforce Size,Unemp Size
Florida,12/1/2019 0:00,10397884,264725
Georgia,12/1/2019 0:00,5148163,148846
Hawaii,12/1/2019 0:00,667325,14982
Idaho,12/1/2019 0:00,888452,25372
Illinois,12/1/2019 0:00,6377232,220397
Indiana,12/1/2019 0:00,3359406,99811
Iowa,12/1/2019 0:00,1745731,51293
Kansas,12/1/2019 0:00,1492699,42840
Kentucky,12/1/2019 0:00,2073838,81086
Louisiana,12/1/2019 0:00,2091000,102981
Maine,12/1/2019 0:00,688899,19920
Maryland,12/1/2019 0:00,3261324,98116
Massachusetts,12/1/2019 0:00,3822997,90442
Michigan,12/1/2019 0:00,4922109,174864
Minnesota,12/1/2019 0:00,3123709,108186
Mississippi,12/1/2019 0:00,1279977,66922
Missouri,12/1/2019 0:00,3096892,105397
Montana,12/1/2019 0:00,531156,19339
Nebraska,12/1/2019 0:00,1033276,27581
Nevada,12/1/2019 0:00,1550143,52275
New Hampshire,12/1/2019 0:00,773044,17574
New Jersey,12/1/2019 0:00,4547131,164246
New Mexico,12/1/2019 0:00,966863,43421
New York,12/1/2019 0:00,9468280,351928
North Carolina,12/1/2019 0:00,5070827,168255
North Dakota,12/1/2019 0:00,398298,8852
Ohio,12/1/2019 0:00,5776856,218927
Oklahoma,12/1/2019 0:00,1837940,58211
Oregon,12/1/2019 0:00,2089779,61165
Pennsylvania,12/1/2019 0:00,6524296,295120
Rhode Island,12/1/2019 0:00,558770,17797
South Carolina,12/1/2019 0:00,2372013,56479
South Dakota,12/1/2019 0:00,463453,16303
Tennessee,12/1/2019 0:00,3361721,104576
Texas,12/1/2019 0:00,14192255,470136
Utah,12/1/2019 0:00,1629253,35240
Vermont,12/1/2019 0:00,338615,7241
Virginia,12/1/2019 0:00,4425963,107305
Washington,12/1/2019 0:00,3944481,157598
West Virginia,12/1/2019 0:00,797720,39566
Wisconsin,12/1/2019 0:00,3089959,99409
Wyoming,12/1/2019 0:00,290539,10701
Alabama,1/1/2020 0:00,2226903,72293
Alaska,1/1/2020 0:00,339445,22304
Arizona,1/1/2020 0:00,3616271,167687
Arkansas,1/1/2020 0:00,1350711,55513
California,1/1/2020 0:00,19477354,839986
Colorado,1/1/2020 0:00,3169480,90179
Connecticut,1/1/2020 0:00,1920807,85151
Delaware,1/1/2020 0:00,486541,20642
D.C.,1/1/2020 0:00,414238,21081
Florida,1/1/2020 0:00,10423822,310226
Georgia,1/1/2020 0:00,5157403,178054
Hawaii,1/1/2020 0:00,673454,19444
Idaho,1/1/2020 0:00,886931,31053
Illinois,1/1/2020 0:00,6312658,253312
Indiana,1/1/2020 0:00,3375889,121512
Iowa,1/1/2020 0:00,1738135,64221
Kansas,1/1/2020 0:00,1489402,50693
Kentucky,1/1/2020 0:00,2070206,98685
Louisiana,1/1/2020 0:00,2097045,119633
Maine,1/1/2020 0:00,685269,28088
Maryland,1/1/2020 0:00,3269371,116126
Massachusetts,1/1/2020 0:00,3808808,128339
Michigan,1/1/2020 0:00,4924408,210771
Minnesota,1/1/2020 0:00,3096839,113334
Mississippi,1/1/2020 0:00,1257892,67485
Missouri,1/1/2020 0:00,3095286,132261
Montana,1/1/2020 0:00,534089,23626
Nebraska,1/1/2020 0:00,1036702,33123
Nevada,1/1/2020 0:00,1560901,59880
New Hampshire,1/1/2020 0:00,780999,23910
New Jersey,1/1/2020 0:00,4558934,200336
New Mexico,1/1/2020 0:00,958293,47900
New York,1/1/2020 0:00,9527725,391140
North Carolina,1/1/2020 0:00,5085420,206728
North Dakota,1/1/2020 0:00,399574,11300
Ohio,1/1/2020 0:00,5782142,291909
Oklahoma,1/1/2020 0:00,1829554,59744
Oregon,1/1/2020 0:00,2088894,79351
Pennsylvania,1/1/2020 0:00,6518311,333818
Rhode Island,1/1/2020 0:00,555877,22556
South Carolina,1/1/2020 0:00,2382951,70380
South Dakota,1/1/2020 0:00,461820,17564
Tennessee,1/1/2020 0:00,3331920,127459
Texas,1/1/2020 0:00,14188058,532434
Utah,1/1/2020 0:00,1628058,45458
Vermont,1/1/2020 0:00,338827,10188
Virginia,1/1/2020 0:00,4441323,134298
Washington,1/1/2020 0:00,3964090,175160
West Virginia,1/1/2020 0:00,799751,43592
Wisconsin,1/1/2020 0:00,3085640,131022
Wyoming,1/1/2020 0:00,292822,12564
Alabama,2/1/2020 0:00,2230984,64556
Alaska,2/1/2020 0:00,338971,19908
Arizona,2/1/2020 0:00,3633403,158568
Arkansas,2/1/2020 0:00,1361087,53699
California,2/1/2020 0:00,19528254,841220
Colorado,2/1/2020 0:00,3190546,93939
Connecticut,2/1/2020 0:00,1917736,84669
Delaware,2/1/2020 0:00,487483,19736
D.C.,2/1/2020 0:00,419262,21696
Florida,2/1/2020 0:00,10482635,297363
Georgia,2/1/2020 0:00,5186538,181160
Hawaii,2/1/2020 0:00,669115,17633
Idaho,2/1/2020 0:00,891257,27474
Illinois,2/1/2020 0:00,6337213,223656
Indiana,2/1/2020 0:00,3392051,113949
Iowa,2/1/2020 0:00,1735103,54537
Kansas,2/1/2020 0:00,1499371,49904
Kentucky,2/1/2020 0:00,2071092,89427
Louisiana,2/1/2020 0:00,2095859,89797
Maine,2/1/2020 0:00,687837,29469
Maryland,2/1/2020 0:00,3273955,116616
Massachusetts,2/1/2020 0:00,3815351,125389
Michigan,2/1/2020 0:00,4952221,179832
Minnesota,2/1/2020 0:00,3103816,110976
Mississippi,2/1/2020 0:00,1263214,64562
Missouri,2/1/2020 0:00,3091580,115340
Montana,2/1/2020 0:00,535155,22415
Nebraska,2/1/2020 0:00,1041822,31200
Nevada,2/1/2020 0:00,1572923,59337
New Hampshire,2/1/2020 0:00,780196,23952
New Jersey,2/1/2020 0:00,4582760,191465
New Mexico,2/1/2020 0:00,961613,48454
New York,2/1/2020 0:00,9567146,376605
North Carolina,2/1/2020 0:00,5122976,189127
North Dakota,2/1/2020 0:00,400774,11138
Ohio,2/1/2020 0:00,5836382,276356
Oklahoma,2/1/2020 0:00,1835219,55011
Oregon,2/1/2020 0:00,2100292,78919
Pennsylvania,2/1/2020 0:00,6557602,333040
Rhode Island,2/1/2020 0:00,558011,22130
South Carolina,2/1/2020 0:00,2396992,73086
South Dakota,2/1/2020 0:00,463941,16724
Tennessee,2/1/2020 0:00,3353266,128239
Texas,2/1/2020 0:00,14286245,508251
Utah,2/1/2020 0:00,1636217,46510
Vermont,2/1/2020 0:00,338155,8910
Virginia,2/1/2020 0:00,4473225,123089
Washington,2/1/2020 0:00,3980521,167827
West Virginia,2/1/2020 0:00,807072,43954
Wisconsin,2/1/2020 0:00,3096887,124277
Wyoming,2/1/2020 0:00,293736,12569
Alabama,3/1/2020 0:00,2227113,67046
Alaska,3/1/2020 0:00,340653,19953
Arizona,3/1/2020 0:00,3588453,220450
Arkansas,3/1/2020 0:00,1378026,66943
California,3/1/2020 0:00,19192116,1106405
Colorado,3/1/2020 0:00,3120125,167668
Connecticut,3/1/2020 0:00,1920978,69052
Delaware,3/1/2020 0:00,477155,24084
D.C.,3/1/2020 0:00,421750,24835
Florida,3/1/2020 0:00,10320947,446380
Georgia,3/1/2020 0:00,5167293,233410
Hawaii,3/1/2020 0:00,667544,15049
Idaho,3/1/2020 0:00,889902,27030
Illinois,3/1/2020 0:00,6267000,262659
Indiana,3/1/2020 0:00,3273454,104961
Iowa,3/1/2020 0:00,1716518,61910
Kansas,3/1/2020 0:00,1501963,43497
Kentucky,3/1/2020 0:00,2066706,110123
Louisiana,3/1/2020 0:00,2129078,135115
Maine,3/1/2020 0:00,688274,25057
Maryland,3/1/2020 0:00,3276247,114717
Massachusetts,3/1/2020 0:00,3763557,111438
Michigan,3/1/2020 0:00,4899683,197754
Minnesota,3/1/2020 0:00,3086604,107672
Mississippi,3/1/2020 0:00,1268451,60590
Missouri,3/1/2020 0:00,3138290,123340
Montana,3/1/2020 0:00,535146,22642
Nebraska,3/1/2020 0:00,1059311,44580
Nevada,3/1/2020 0:00,1561501,107252
New Hampshire,3/1/2020 0:00,764208,21078
New Jersey,3/1/2020 0:00,4565536,168965
New Mexico,3/1/2020 0:00,962996,60045
New York,3/1/2020 0:00,9431634,400782
North Carolina,3/1/2020 0:00,4979418,212807
North Dakota,3/1/2020 0:00,402720,10807
Ohio,3/1/2020 0:00,5729866,311030
Oklahoma,3/1/2020 0:00,1827638,53922
Oregon,3/1/2020 0:00,2104141,81967
Pennsylvania,3/1/2020 0:00,6500739,381669
Rhode Island,3/1/2020 0:00,560847,27927
South Carolina,3/1/2020 0:00,2403025,72853
South Dakota,3/1/2020 0:00,465585,15725
Tennessee,3/1/2020 0:00,3381975,109312
Texas,3/1/2020 0:00,14031076,718736
Utah,3/1/2020 0:00,1622006,65980
Vermont,3/1/2020 0:00,339886,11615
Virginia,3/1/2020 0:00,4445359,147817
Washington,3/1/2020 0:00,3895060,209204
West Virginia,3/1/2020 0:00,812584,50094
Wisconsin,3/1/2020 0:00,3073342,103192
Wyoming,3/1/2020 0:00,293605,12754
Alabama,4/1/2020 0:00,2195170,290998
Alaska,4/1/2020 0:00,334747,45980
Arizona,4/1/2020 0:00,3541277,458154
Arkansas,4/1/2020 0:00,1310898,134572
California,4/1/2020 0:00,18519433,2989198
Colorado,4/1/2020 0:00,3046679,364834
Connecticut,4/1/2020 0:00,1761770,140663
Delaware,4/1/2020 0:00,463346,68510
D.C.,4/1/2020 0:00,403204,44838
Florida,4/1/2020 0:00,9406704,1253979
Georgia,4/1/2020 0:00,4872842,596017
Hawaii,4/1/2020 0:00,633025,148980
Idaho,4/1/2020 0:00,881126,104199
Illinois,4/1/2020 0:00,6115743,1032810
Indiana,4/1/2020 0:00,3230276,553940
Iowa,4/1/2020 0:00,1708648,183215
Kansas,4/1/2020 0:00,1495940,174016
Kentucky,4/1/2020 0:00,2056469,331023
Louisiana,4/1/2020 0:00,1928325,280233
Maine,4/1/2020 0:00,655667,73818
Maryland,4/1/2020 0:00,3036946,306034
Massachusetts,4/1/2020 0:00,3386216,538660
Michigan,4/1/2020 0:00,4576253,1089279
Minnesota,4/1/2020 0:00,3052783,262518
Mississippi,4/1/2020 0:00,1191786,186051
Missouri,4/1/2020 0:00,3032362,296394
Montana,4/1/2020 0:00,518439,61461
Nebraska,4/1/2020 0:00,1058500,91220
Nevada,4/1/2020 0:00,1424696,424605
New Hampshire,4/1/2020 0:00,713552,122573
New Jersey,4/1/2020 0:00,4455935,707163
New Mexico,4/1/2020 0:00,912946,103972
New York,4/1/2020 0:00,9042703,1357286
North Carolina,4/1/2020 0:00,4675542,585304
North Dakota,4/1/2020 0:00,405229,37311
Ohio,4/1/2020 0:00,5676170,989327
Oklahoma,4/1/2020 0:00,1765229,251894
Oregon,4/1/2020 0:00,2101681,311793
Pennsylvania,4/1/2020 0:00,6406424,995168
Rhode Island,4/1/2020 0:00,523111,93319
South Carolina,4/1/2020 0:00,2369620,289686
South Dakota,4/1/2020 0:00,468288,51298
Tennessee,4/1/2020 0:00,3217232,482905
Texas,4/1/2020 0:00,12931307,1687248
Utah,4/1/2020 0:00,1596305,164164
Vermont,4/1/2020 0:00,347914,58492
Virginia,4/1/2020 0:00,4306921,465888
Washington,4/1/2020 0:00,3932156,622779
West Virginia,4/1/2020 0:00,775157,122798
Wisconsin,4/1/2020 0:00,3072892,449312
Wyoming,4/1/2020 0:00,294311,28208
Alabama,5/1/2020 0:00,2235610,204935
Alaska,5/1/2020 0:00,334106,41953
Arizona,5/1/2020 0:00,3541208,310463
Arkansas,5/1/2020 0:00,1349503,127087
California,5/1/2020 0:00,18423388,2949447
Colorado,5/1/2020 0:00,3055723,306981
Connecticut,5/1/2020 0:00,1777738,167737
Delaware,5/1/2020 0:00,471396,73086
D.C.,5/1/2020 0:00,386742,32680
Florida,5/1/2020 0:00,9651892,1304072
Georgia,5/1/2020 0:00,4893313,449696
Hawaii,5/1/2020 0:00,624626,146131
Idaho,5/1/2020 0:00,883170,76117
Illinois,5/1/2020 0:00,6283576,931965
Indiana,5/1/2020 0:00,3350607,398272
Iowa,5/1/2020 0:00,1688213,167567
Kansas,5/1/2020 0:00,1498549,148024
Kentucky,5/1/2020 0:00,2037060,217891
Louisiana,5/1/2020 0:00,2026083,282453
Maine,5/1/2020 0:00,662567,62510
Maryland,5/1/2020 0:00,3106005,302371
Massachusetts,5/1/2020 0:00,3525512,582796
Michigan,5/1/2020 0:00,4765123,991814
Minnesota,5/1/2020 0:00,3062634,287254
Mississippi,5/1/2020 0:00,1212017,125942
Missouri,5/1/2020 0:00,3015099,295828
Montana,5/1/2020 0:00,523912,44587
Nebraska,5/1/2020 0:00,1034364,53515
Nevada,5/1/2020 0:00,1382240,347106
New Hampshire,5/1/2020 0:00,730536,111950
New Jersey,5/1/2020 0:00,4515845,681014
New Mexico,5/1/2020 0:00,898698,78436
New York,5/1/2020 0:00,9064228,1285375
North Carolina,5/1/2020 0:00,4838194,613012
North Dakota,5/1/2020 0:00,403856,34993
Ohio,5/1/2020 0:00,5759306,777518
Oklahoma,5/1/2020 0:00,1820747,229735
Oregon,5/1/2020 0:00,2114497,294470
Pennsylvania,5/1/2020 0:00,6494406,859499
Rhode Island,5/1/2020 0:00,518867,83808
South Carolina,5/1/2020 0:00,2420966,290963
South Dakota,5/1/2020 0:00,464374,42669
Tennessee,5/1/2020 0:00,3294573,351948
Texas,5/1/2020 0:00,13464075,1711194
Utah,5/1/2020 0:00,1607911,136316
Vermont,5/1/2020 0:00,342245,43468
Virginia,5/1/2020 0:00,4319016,383912
Washington,5/1/2020 0:00,3937461,582895
West Virginia,5/1/2020 0:00,781397,97854
Wisconsin,5/1/2020 0:00,3088644,366905
Wyoming,5/1/2020 0:00,292873,25426
Alabama,6/1/2020 0:00,2204545,176036
Alaska,6/1/2020 0:00,350583,43062
Arizona,6/1/2020 0:00,3499212,359509
Arkansas,6/1/2020 0:00,1329793,109561
California,6/1/2020 0:00,18912012,2846644
Colorado,6/1/2020 0:00,3189798,340422
Connecticut,6/1/2020 0:00,1887870,188487
Delaware,6/1/2020 0:00,491813,62574
D.C.,6/1/2020 0:00,397766,35673
Florida,6/1/2020 0:00,9789069,1045481
Georgia,6/1/2020 0:00,4933551,392073
Hawaii,6/1/2020 0:00,615118,88774
Idaho,6/1/2020 0:00,902551,48142
Illinois,6/1/2020 0:00,6559573,958349
Indiana,6/1/2020 0:00,3433664,383935
Iowa,6/1/2020 0:00,1651843,130982
Kansas,6/1/2020 0:00,1495009,113134
Kentucky,6/1/2020 0:00,1950426,94543
Louisiana,6/1/2020 0:00,2021602,211623
Maine,6/1/2020 0:00,678778,43379
Maryland,6/1/2020 0:00,3229628,267300
Massachusetts,6/1/2020 0:00,3713361,648604
Michigan,6/1/2020 0:00,4993785,743803
Minnesota,6/1/2020 0:00,3135487,267680
Mississippi,6/1/2020 0:00,1211136,117760
Missouri,6/1/2020 0:00,3052057,242135
Montana,6/1/2020 0:00,542444,37988
Nebraska,6/1/2020 0:00,1069792,73350
Nevada,6/1/2020 0:00,1500295,227581
New Hampshire,6/1/2020 0:00,754781,88100
New Jersey,6/1/2020 0:00,4562048,746530
New Mexico,6/1/2020 0:00,927685,83390
New York,6/1/2020 0:00,9441085,1468753
North Carolina,6/1/2020 0:00,4819363,380123
North Dakota,6/1/2020 0:00,408023,25569
Ohio,6/1/2020 0:00,5849201,650272
Oklahoma,6/1/2020 0:00,1779949,121838
Oregon,6/1/2020 0:00,2158252,243315
Pennsylvania,6/1/2020 0:00,6383465,835196
Rhode Island,6/1/2020 0:00,552974,66980
South Carolina,6/1/2020 0:00,2462989,219169
South Dakota,6/1/2020 0:00,475420,33471
Tennessee,6/1/2020 0:00,3201894,324508
Texas,6/1/2020 0:00,13844386,1231582
Utah,6/1/2020 0:00,1673611,92009
Vermont,6/1/2020 0:00,345764,32395
Virginia,6/1/2020 0:00,4356400,371775
Washington,6/1/2020 0:00,3965560,384109
West Virginia,6/1/2020 0:00,775692,80734
Wisconsin,6/1/2020 0:00,3100848,270982
Wyoming,6/1/2020 0:00,301336,22832
Alabama,7/1/2020 0:00,2237258,182761
Alaska,7/1/2020 0:00,351992,38066
Arizona,7/1/2020 0:00,3563198,392648
Arkansas,7/1/2020 0:00,1323626,99847
California,7/1/2020 0:00,18919860,2624606
Colorado,7/1/2020 0:00,3105010,230335
Connecticut,7/1/2020 0:00,1934606,199999
Delaware,7/1/2020 0:00,510795,54496
D.C.,7/1/2020 0:00,399448,35715
Florida,7/1/2020 0:00,10053887,1169778
Georgia,7/1/2020 0:00,5022761,402700
Hawaii,7/1/2020 0:00,641266,86259
Idaho,7/1/2020 0:00,913173,43548
Illinois,7/1/2020 0:00,6326578,728120
Indiana,7/1/2020 0:00,3356434,267984
Iowa,7/1/2020 0:00,1647866,110363
Kansas,7/1/2020 0:00,1515003,116591
Kentucky,7/1/2020 0:00,1854698,92834
Louisiana,7/1/2020 0:00,2038615,203076
Maine,7/1/2020 0:00,715386,67502
Maryland,7/1/2020 0:00,3293672,262162
Massachusetts,7/1/2020 0:00,3725151,605796
Michigan,7/1/2020 0:00,4871057,465161
Minnesota,7/1/2020 0:00,3123590,232599
Mississippi,7/1/2020 0:00,1232114,123987
Missouri,7/1/2020 0:00,3103500,223882
Montana,7/1/2020 0:00,543757,32874
Nebraska,7/1/2020 0:00,1062974,53998
Nevada,7/1/2020 0:00,1494939,213567
New Hampshire,7/1/2020 0:00,747132,58966
New Jersey,7/1/2020 0:00,4650728,668630
New Mexico,7/1/2020 0:00,915348,122000
New York,7/1/2020 0:00,9687509,1547731
North Carolina,7/1/2020 0:00,4944753,436774
North Dakota,7/1/2020 0:00,410373,26043
Ohio,7/1/2020 0:00,5734905,528987
Oklahoma,7/1/2020 0:00,1811723,128682
Oregon,7/1/2020 0:00,2084949,221460
Pennsylvania,7/1/2020 0:00,6458600,824771
Rhode Island,7/1/2020 0:00,564414,65181
South Carolina,7/1/2020 0:00,2487636,220921
South Dakota,7/1/2020 0:00,473798,28882
Tennessee,7/1/2020 0:00,3178426,321520
Texas,7/1/2020 0:00,13858302,1151623
Utah,7/1/2020 0:00,1634784,75477
Vermont,7/1/2020 0:00,343771,28191
Virginia,7/1/2020 0:00,4376805,349288
Washington,7/1/2020 0:00,3989011,400223
West Virginia,7/1/2020 0:00,769225,76141
Wisconsin,7/1/2020 0:00,3070321,219150
Wyoming,7/1/2020 0:00,299734,20377
Alabama,8/1/2020 0:00,2256750,131079
Alaska,8/1/2020 0:00,335272,21465
Arizona,8/1/2020 0:00,3413331,214332
Arkansas,8/1/2020 0:00,1346162,99714
California,8/1/2020 0:00,18729407,2171794
Colorado,8/1/2020 0:00,3100236,205082
Connecticut,8/1/2020 0:00,1877381,153302
Delaware,8/1/2020 0:00,503759,45671
D.C.,8/1/2020 0:00,394337,34292
Florida,8/1/2020 0:00,10137020,779311
Georgia,8/1/2020 0:00,4894071,286484
Hawaii,8/1/2020 0:00,636633,79300
Idaho,8/1/2020 0:00,898836,33876
Illinois,8/1/2020 0:00,6349369,691640
Indiana,8/1/2020 0:00,3364666,217524
Iowa,8/1/2020 0:00,1620207,96178
Kansas,8/1/2020 0:00,1494595,105906
Kentucky,8/1/2020 0:00,2004008,149419
Louisiana,8/1/2020 0:00,2106476,169779
Maine,8/1/2020 0:00,694278,42937
Maryland,8/1/2020 0:00,3258880,229494
Massachusetts,8/1/2020 0:00,3581311,399730
Michigan,8/1/2020 0:00,4941320,439661
Minnesota,8/1/2020 0:00,3121133,223097
Mississippi,8/1/2020 0:00,1238773,97785
Missouri,8/1/2020 0:00,3067772,218155
Montana,8/1/2020 0:00,537184,27741
Nebraska,8/1/2020 0:00,1040865,40679
Nevada,8/1/2020 0:00,1494549,198063
New Hampshire,8/1/2020 0:00,745326,47347
New Jersey,8/1/2020 0:00,4586367,500771
New Mexico,8/1/2020 0:00,893293,102883
New York,8/1/2020 0:00,9521651,1200119
North Carolina,8/1/2020 0:00,4813107,327976
North Dakota,8/1/2020 0:00,403565,19386
Ohio,8/1/2020 0:00,5786919,510199
Oklahoma,8/1/2020 0:00,1824934,102709
Oregon,8/1/2020 0:00,2072940,161839
Pennsylvania,8/1/2020 0:00,6337905,664889
Rhode Island,8/1/2020 0:00,546274,70807
South Carolina,8/1/2020 0:00,2428166,160004
South Dakota,8/1/2020 0:00,463355,21806
Tennessee,8/1/2020 0:00,3381884,289511
Texas,8/1/2020 0:00,14325524,996264
Utah,8/1/2020 0:00,1627683,68301
Vermont,8/1/2020 0:00,327153,15117
Virginia,8/1/2020 0:00,4348190,274828
Washington,8/1/2020 0:00,3963255,333170
West Virginia,8/1/2020 0:00,772389,67061
Wisconsin,8/1/2020 0:00,3062770,185857
Wyoming,8/1/2020 0:00,295091,17842
Alabama,9/1/2020 0:00,2266350,147185
Alaska,9/1/2020 0:00,334515,21580
Arizona,9/1/2020 0:00,3587391,236960
Arkansas,9/1/2020 0:00,1344851,93700
California,9/1/2020 0:00,18730849,2005969
Colorado,9/1/2020 0:00,3135918,192920
Connecticut,9/1/2020 0:00,1892440,142318
Delaware,9/1/2020 0:00,484737,40387
D.C.,9/1/2020 0:00,396021,36262
Florida,9/1/2020 0:00,10166280,735744
Georgia,9/1/2020 0:00,4938515,306054
Hawaii,9/1/2020 0:00,610217,92450
Idaho,9/1/2020 0:00,919116,51637
Illinois,9/1/2020 0:00,6334468,634628
Indiana,9/1/2020 0:00,3343358,195513
Iowa,9/1/2020 0:00,1632950,71212
Kansas,9/1/2020 0:00,1467274,81479
Kentucky,9/1/2020 0:00,1894665,98849
Louisiana,9/1/2020 0:00,2097096,169723
Maine,9/1/2020 0:00,682807,37161
Maryland,9/1/2020 0:00,3079451,225825
Massachusetts,9/1/2020 0:00,3752660,362323
Michigan,9/1/2020 0:00,4833677,396905
Minnesota,9/1/2020 0:00,3055645,163943
Mississippi,9/1/2020 0:00,1297658,90055
Missouri,9/1/2020 0:00,2994695,127577
Montana,9/1/2020 0:00,533013,24499
Nebraska,9/1/2020 0:00,1026784,34586
Nevada,9/1/2020 0:00,1550430,192954
New Hampshire,9/1/2020 0:00,736395,40491
New Jersey,9/1/2020 0:00,4291718,276969
New Mexico,9/1/2020 0:00,952541,93936
New York,9/1/2020 0:00,9128601,849479
North Carolina,9/1/2020 0:00,4896385,339862
North Dakota,9/1/2020 0:00,396704,15129
Ohio,9/1/2020 0:00,5643557,448813
Oklahoma,9/1/2020 0:00,1885410,99532
Oregon,9/1/2020 0:00,2038215,149864
Pennsylvania,9/1/2020 0:00,6419715,502581
Rhode Island,9/1/2020 0:00,561092,56963
South Carolina,9/1/2020 0:00,2372326,116197
South Dakota,9/1/2020 0:00,462748,17379
Tennessee,9/1/2020 0:00,3303274,210097
Texas,9/1/2020 0:00,14198955,1163781
Utah,9/1/2020 0:00,1669478,78973
Vermont,9/1/2020 0:00,320494,13356
Virginia,9/1/2020 0:00,4273950,262055
Washington,9/1/2020 0:00,3935164,308164
West Virginia,9/1/2020 0:00,776210,61636
Wisconsin,9/1/2020 0:00,3130746,144668
Wyoming,9/1/2020 0:00,295023,16375
Alabama,10/1/2020 0:00,2256997,123584
Alaska,10/1/2020 0:00,351548,19030
Arizona,10/1/2020 0:00,3594564,284601
Arkansas,10/1/2020 0:00,1331562,76007
California,10/1/2020 0:00,19341630,1736288
Colorado,10/1/2020 0:00,3151175,194309
Connecticut,10/1/2020 0:00,1856084,108532
Delaware,10/1/2020 0:00,478936,26334
D.C.,10/1/2020 0:00,395863,32473
Florida,10/1/2020 0:00,10153913,652787
Georgia,10/1/2020 0:00,5093669,228654
Hawaii,10/1/2020 0:00,639195,90903
Idaho,10/1/2020 0:00,915311,45983
Illinois,10/1/2020 0:00,6255869,407255
Indiana,10/1/2020 0:00,3353337,160712
Iowa,10/1/2020 0:00,1638478,49084
Kansas,10/1/2020 0:00,1519494,74643
Kentucky,10/1/2020 0:00,1955722,135622
Louisiana,10/1/2020 0:00,2118292,197250
Maine,10/1/2020 0:00,679139,32295
Maryland,10/1/2020 0:00,3157253,241545
Massachusetts,10/1/2020 0:00,3610723,250244
Michigan,10/1/2020 0:00,4868808,247431
Minnesota,10/1/2020 0:00,3017864,117689
Mississippi,10/1/2020 0:00,1289654,90150
Missouri,10/1/2020 0:00,2980680,114425
Montana,10/1/2020 0:00,533821,22296
Nebraska,10/1/2020 0:00,1029141,27876
Nevada,10/1/2020 0:00,1548358,182494
New Hampshire,10/1/2020 0:00,724578,27260
New Jersey,10/1/2020 0:00,4404759,345181
New Mexico,10/1/2020 0:00,929046,73809
New York,10/1/2020 0:00,9072437,834025
North Carolina,10/1/2020 0:00,4958027,302413
North Dakota,10/1/2020 0:00,399873,15922
Ohio,10/1/2020 0:00,5815536,299998
Oklahoma,10/1/2020 0:00,1880047,115470
Oregon,10/1/2020 0:00,2145460,137452
Pennsylvania,10/1/2020 0:00,6357371,436208
Rhode Island,10/1/2020 0:00,542409,35151
South Carolina,10/1/2020 0:00,2386076,97321
South Dakota,10/1/2020 0:00,463636,15362
Tennessee,10/1/2020 0:00,3332952,240834
Texas,10/1/2020 0:00,14094292,950292
Utah,10/1/2020 0:00,1645673,61597
Vermont,10/1/2020 0:00,319265,7559
Virginia,10/1/2020 0:00,4272772,218161
Washington,10/1/2020 0:00,4004506,222624
West Virginia,10/1/2020 0:00,768774,44143
Wisconsin,10/1/2020 0:00,3122618,153490
Wyoming,10/1/2020 0:00,295987,14930
Alabama,11/1/2020 0:00,2260561,90187
Alaska,11/1/2020 0:00,346092,22042
Arizona,11/1/2020 0:00,3578897,276261
Arkansas,11/1/2020 0:00,1318179,76825
California,11/1/2020 0:00,18938160,1495691
Colorado,11/1/2020 0:00,3171032,196649
Connecticut,11/1/2020 0:00,1886051,145522
Delaware,11/1/2020 0:00,480897,22373
D.C.,11/1/2020 0:00,397117,28919
Florida,11/1/2020 0:00,10092127,621086
Georgia,11/1/2020 0:00,5155192,275670
Hawaii,11/1/2020 0:00,663132,68832
Idaho,11/1/2020 0:00,901607,43164
Illinois,11/1/2020 0:00,6170882,399750
Indiana,11/1/2020 0:00,3309509,163034
